# GENERATED from src/game/content.js — do not hand-edit; run scripts/export-chips.mjs
Ability ID,Name,Eligible Tier,Effect
rail-corridor,Rail Corridor,veryHigh,Activated (2 Scrap): MODIFY_STAT.
knowledge-cache,Knowledge Cache,veryHigh,Activated (1 Action): MOVE_CARD.
blacksite,Blacksite,veryHigh,Activated (1 Action): DISABLE_CHIP.
old-armory,Old Armory,veryHigh,"Activated (1 Action, once per game): GRANT_CHIP."
staging-ground,Staging Ground,high,Activated (2 Scrap): GRANT_ACTIONS.
fortified-ruins,Fortified Ruins,high,Passive: attacking units get no chip Strength in contests here.
scrapyard,Scrapyard,high,Activated (2 Scrap): STRIP_CHIP.
beacon-hill,Beacon Hill,high,Passive: +1 Influence range for this location.
the-springs,The Springs,high,Passive: units standing here (any owner) heal +2 at Upkeep.
toll-gate,Toll Gate,high,Passive: enemies pay +1 movement entering this location's hex or its ring.
